acid,MG,ST,FC,P_CLR,P_FRM,P_DENS,POD,SC_L,SC_CLR,H_CLR,protein,oil,Linoleic,Linolenic,Stem term,R1,R8,Hgt,Mot,Ldg,SQ,SdWgt,Yield,Oleic,Palmitic,PRR1,SCN3,Stearic
PI423734,IV,D,P,G,E,Ssp,Br,I,Y,Y,44.52618955373764,17.814905172586442,55.69235883414745,6.943479675054551,I,89.86335268616676,24.313812732696533,59.712361335754395,I,II,III,28.38864322900772,2.846636735200882,21.546482466459274,11.932323958575726,S,S,3.5942566752433778
PI424241,IV,D,P,T,E,Ssp,Br,I,Gn,Bl,44.8038104057312,17.209340935945512,54.929230087399475,7.479129132628441,I,67.13439613580704,111.65792310237885,61.083964347839355,III,III,III,23.305127200484275,1.7567536282539369,22.467684611976146,11.769602584838866,S,S,3.0635120928287507
PI437749,IV,D,P,T,A,N,Br,I,Gn,Bl,45.85294940471649,15.537188571691512,53.35329799056053,7.150829738378525,I,82.28171068429947,51.70179891586304,86.0695161819458,III,III,III,20.99163247346878,1.6627773967385293,26.836830731034276,12.045738982558248,S,S,3.365394389629364
PI506711B,III,D,P,T,Sa,N,Bl,I,Y,Br,43.08765988349914,18.5367245554924,53.900145586729046,7.90978955924511,I,70.77559357881546,125.25981736183167,50.13494396209717,II,II,III,21.311021000146862,2.3860331094264984,23.342760804891583,12.015185629427432,S,S,3.12744360268116
PI549076A,O,N,W,G,E,N,Br,I,Y,Y,39.756315851211546,20.17120813131332,51.406218330860135,8.22825718522072,II,60.60076394677162,113.17439496517181,70.02304458618164,I,II,III,22.169786649942395,4.16390377163887,24.495366488993167,11.696226642429828,S,S,3.735766178369522
PI567453,IV,N,W,G,E,N,Br,I,Y,Bf,46.27448959350586,18.725364035367967,53.219854453206054,7.494293236732483,II,72.94076815247536,122.62507951259613,98.11373138427734,II,III,III,16.543813070654867,3.869478442668915,21.584074567258355,12.14274759709835,S,S,3.9020066767930985
PI594245B,I,D,P,T,E,Ssp,Br,I,Y,Br,42.27073700428009,19.57322971820831,50.568284300565715,7.116240859031677,I,63.789913326501846,117.89612710475922,46.22800254821777,II,I,III,29.40482736825943,3.2573182541131973,27.3740006172657,12.21047684520483,S,S,2.6991457477211953
PI184047,O,S,P,T,E,N,Tn,S,Y,Br,39.35713524818421,18.65413197875023,52.46640844643116,8.392333954572678,III,63.56878250837326,110.31736445426941,56.09644317626953,II,IV,III,14.50256337225437,3.49601619720459,21.146569951474667,12.731483555436133,S,S,3.022289237380028
PI229339,IV,D,P,T,Sa,Ssp,Br,D,Y,Br,42.26671343445778,19.23603719472885,51.44339875400066,7.025664240121841,I,57.67239961028099,130.6202199459076,54.06065845489502,II,II,III,18.8502127379179,1.5721090888977052,25.857082046866417,12.054875349700449,S,S,3.104388973116875
PI398202,IV,D,P,T,E,Ssp,Br,D,Bl,Bl,44.876411128044126,17.3603991150856,55.063322802782054,7.61972933113575,I,71.15915349125862,87.92692196369171,53.21594858169556,II,II,III,25.66260870695114,3.634899804592133,22.18537259250879,11.82770031839609,S,S,3.3679240852594376
